代码,名称,市盈率,市净率,股息率,历史ROE,近三年ROE,近五年ROE,市值
sz002602,世纪华通,51.97,3.18,0.53,20.06,11.07,11.89,439.17
sz002146,荣盛发展,5.59,1.26,4.22,24.9,21.7,22.02,433.08
sz002001,新和成,20.56,2.58,3.49,21.79,14.8,18.78,430.81
sh600926,杭州银行,7.54,0.72,3.58,15.72,12.54,11.39,429.91
sh600760,中航沈飞,44.53,5.32,0,0.32,4.38,12.36,429.22
sh600703,三安光电,17.16,1.95,2.39,14.43,14.32,14.5,426.2
sz300413,芒果超媒,33.53,7.03,0.12,14.39,9.91,8.67,425.91
sz002422,科伦药业,36.48,3.27,0.71,15.86,7.43,7.16,425.17
sz000783,长江证券,60.65,1.56,1.95,6.9,10.76,5.97,424.67
sz002236,大华股份,16.62,3.26,1.41,27.56,24.09,24.14,423.86
sh601162,天风证券,123.84,3.49,0,6.12,7.14,4.4,422.17
sh601377,兴业证券,54.49,1.24,2.4,16.67,10.51,4.78,418.54
sh600801,华新水泥,7.37,2.36,1,11.63,14.82,19.95,417.52
sh600085,同仁堂,35.68,4.34,0.82,13.6,13.14,12.63,416.24
sz000157,中联重科,15.7,1.06,3.77,18.45,1.6,2.13,415.2
sz002007,华兰生物,34.61,7,0.68,21.71,18.81,20.23,412.41
sz300124,汇川技术,37.09,6.27,1.22,32.03,20.98,20.82,407.85
sh600111,北方稀土,68.53,4.34,0.31,13.64,4.81,4.08,407.27
sh600398,XD海澜之,11.52,2.9,5.3,20.48,35.3,31.95,407.05
sh600928,西安银行,0,0,0,12.61,12.61,12.61,406.22
sh601992,金隅集团,10.09,0.67,1.3,12.43,6.7,6.35,392.94
sh601021,春秋航空,24.65,2.8,0.44,24.88,18.71,14.08,392.43
sz000039,中集集团,11.66,1,2.07,17.14,8,6.67,389.56
sz000625,长安汽车,-13.82,0.87,5.52,15.16,22.25,14.64,388.05
sz300454,深信服,74.56,11.31,0,26.02,20.82,25.01,387
sz002939,长城证券,68.94,2.44,0,9.18,9.73,5.79,386.99
sh600674,川投能源,11.1,1.51,3.14,12.58,19.84,16.22,386.07
